date,exercise,reps,weight
2016-02-18,"Bicep Curls",8,25
2016-02-18,"Bicep Curls",8,25
2016-02-18,"Reverse Lunges",6,50
2016-02-18,"Reverse Lunges",6,50
2016-02-18,"Crunches",25,
2016-02-18,"Crunches",25,
2016-02-18,"Squats",8,65
2016-02-18,"Squats",8,65
2016-02-18,"Hyperextensions",10,
2016-02-18,"Hyperextensions",10,
2016-02-18,"Push Ups",15,
2016-02-18,"Push Ups",15,
2016-02-22,"Standing Militarty Press",10,50
2016-02-22,"Standing Militarty Press",10,70
2016-02-22,"Pulldown",12,85
2016-02-22,"Pulldown",12,100
2016-02-22,"Hip Adduction",15,70
2016-02-22,"Hip Adduction",15,110
2016-02-22,"Russian Twists",20,6
2016-02-22,"Russian Twists",20,12
2016-02-22,"Crunches",25,
2016-02-22,"Crunches",25,
2016-02-22,"Seated Calf Press",20,120
2016-02-22,"Seated Calf Press",20,160
2016-02-22,"Leg Extensions",8,85
2016-02-22,"Leg Extensions",8,85
2016-02-22,"Hip Abduction",12,125
2016-02-22,"Hip Abduction",12,145
2016-02-23,"Sit Ups",20,
2016-02-23,"Sit Ups",20,
2016-02-23,"Sit Ups",20,
2016-02-23,"Standing Twist",10,80
2016-02-23,"Standing Twist",10,80
2016-02-23,"Standing Twist",10,80
2016-02-23,"Front Lateral Raise",8,10
2016-02-23,"Front Lateral Raise",8,10
2016-02-23,"Front Lateral Raise",8,10
2016-02-23,"Deadlift",8,95
2016-02-23,"Deadlift",8,95
2016-02-23,"Deadlift",8,95
2016-02-23,"Arnold Press",8,30
2016-02-23,"Arnold Press",4,20
2016-03-07,"Bicep Curls",8,25
2016-03-07,"Bicep Curls",8,25
2016-03-07,"Bicep Curls",8,25
2016-03-07,"Pull Ups",5,-80
2016-03-07,"Pull Ups",5,-80
2016-03-07,"Pull Ups",5,-80
2016-03-07,"Glute Ham Raise",8,
2016-03-07,"Glute Ham Raise",8,
2016-03-07,"Seated Calf Press",15,140
2016-03-07,"Seated Calf Press",15,140
2016-03-07,"Seated Calf Press",15,140
2016-03-07,"Hip External Rotation",15,10
2016-03-07,"Hip External Rotation",15,20
2016-03-07,"Wrist Curls",8,20
2016-03-07,"Wrist Curls",8,30
2016-03-07,"Wrist Curls",8,30
2016-03-07,"Hip Adduction",15,100
2016-03-07,"Hip Adduction",15,100
2016-03-07,"Crunches",30,
2016-03-07,"Crunches",30,
2016-03-07,"Crunches",30,
